Type|Number of Grains|Severity|Pollen Count (Grains/m^3)|Date
Weeds|27|LOW (0 - 30 grains)|8.7|08/27/2009
Grasses|0|LOW (0 - 15 grains)|0.0|08/28/2009
Trees|0|LOW (0 - 45 grains)|0.0|08/28/2009
Weeds|0|LOW (0 - 30 grains)|0.0|08/28/2009
Grasses|10|LOW (0 - 15 grains)|3.2|08/31/2009
Trees|4|LOW (0 - 45 grains)|1.3|08/31/2009
Weeds|49|MODERATE (31 - 120 grains)|15.7|08/31/2009
Grasses|3|LOW (0 - 15 grains)|1.0|09/01/2009
Trees|1|LOW (0 - 45 grains)|0.3|09/01/2009
Weeds|8|LOW (0 - 30 grains)|2.6|09/01/2009
Grasses|11|LOW (0 - 15 grains)|3.5|09/02/2009
Trees|3|LOW (0 - 45 grains)|1.0|09/02/2009
Weeds|38|MODERATE (31 - 120 grains)|12.2|09/02/2009
Grasses|32|MODERATE (16 - 60 grains)|10.3|09/03/2009
Trees|5|LOW (0 - 45 grains)|1.6|09/03/2009
Weeds|34|MODERATE (31 - 120 grains)|10.9|09/03/2009
Grasses|6|LOW (0 - 15 grains)|1.9|09/04/2009
Trees|4|LOW (0 - 45 grains)|1.3|09/04/2009
Weeds|38|MODERATE (31 - 120 grains)|12.2|09/04/2009
Grasses|5|LOW (0 - 15 grains)|1.6|09/08/2009
Trees|18|LOW (0 - 45 grains)|5.8|09/08/2009
Weeds|22|LOW (0 - 30 grains)|7.1|09/08/2009
Grasses|10|LOW (0 - 15 grains)|3.2|09/09/2009
Trees|104|MODERATE (46 - 270 grains)|33.3|09/09/2009
Weeds|29|LOW (0 - 30 grains)|9.3|09/09/2009
Grasses|38|MODERATE (16 - 60 grains)|12.2|09/10/2009
Trees|76|MODERATE (46 - 270 grains)|24.4|09/10/2009
Weeds|53|MODERATE (31 - 120 grains)|17.0|09/10/2009
Grasses|8|LOW (0 - 15 grains)|2.6|09/11/2009
Trees|29|LOW (0 - 45 grains)|9.3|09/11/2009
Weeds|48|MODERATE (31 - 120 grains)|15.4|09/11/2009
Grasses|17|MODERATE (16 - 60 grains)|5.4|09/14/2009
Trees|10|LOW (0 - 45 grains)|3.2|09/14/2009
Weeds|63|MODERATE (31 - 120 grains)|20.2|09/14/2009
Grasses|13|LOW (0 - 15 grains)|4.2|09/15/2009
Trees|14|LOW (0 - 45 grains)|4.5|09/15/2009
Weeds|56|MODERATE (31 - 120 grains)|17.9|09/15/2009
Grasses|19|MODERATE (16 - 60 grains)|6.1|09/16/2009
Trees|14|LOW (0 - 45 grains)|4.5|09/16/2009
Weeds|69|MODERATE (31 - 120 grains)|22.1|09/16/2009
Grasses|0|LOW (0 - 15 grains)|0.0|09/17/2009
Trees|0|LOW (0 - 45 grains)|0.0|09/17/2009
Weeds|0|LOW (0 - 30 grains)|0.0|09/17/2009
Grasses|31|MODERATE (16 - 60 grains)|9.9|09/18/2009
Trees|1|LOW (0 - 45 grains)|0.3|09/18/2009
Weeds|40|MODERATE (31 - 120 grains)|12.8|09/18/2009
Grasses|15|LOW (0 - 15 grains)|4.8|09/21/2009
Trees|0|LOW (0 - 45 grains)|0.0|09/21/2009
Weeds|60|MODERATE (31 - 120 grains)|19.2|09/21/2009
Grasses|2|LOW (0 - 15 grains)|0.6|09/22/2009
Trees|0|LOW (0 - 45 grains)|0.0|09/22/2009
Weeds|38|MODERATE (31 - 120 grains)|12.2|09/22/2009
Grasses|3|LOW (0 - 15 grains)|1.0|09/23/2009
Trees|1|LOW (0 - 45 grains)|0.3|09/23/2009
Weeds|18|LOW (0 - 30 grains)|5.8|09/23/2009
Grasses|6|LOW (0 - 15 grains)|1.9|09/24/2009
Trees|1|LOW (0 - 45 grains)|0.3|09/24/2009
Weeds|5|LOW (0 - 30 grains)|1.6|09/24/2009
Grasses|32|MODERATE (16 - 60 grains)|10.3|09/25/2009
Trees|7|LOW (0 - 45 grains)|2.2|09/25/2009
Weeds|22|LOW (0 - 30 grains)|7.1|09/25/2009
Grasses|17|MODERATE (16 - 60 grains)|5.4|09/28/2009
Trees|4|LOW (0 - 45 grains)|1.3|09/28/2009
Weeds|21|LOW (0 - 30 grains)|6.7|09/28/2009
Grasses|41|MODERATE (16 - 60 grains)|13.1|09/29/2009
Trees|20|LOW (0 - 45 grains)|6.4|09/29/2009
Weeds|89|MODERATE (31 - 120 grains)|28.5|09/29/2009
Grasses|5|LOW (0 - 15 grains)|1.6|09/30/2009
Trees|11|LOW (0 - 45 grains)|3.5|09/30/2009
Weeds|34|MODERATE (31 - 120 grains)|10.9|09/30/2009
Grasses|5|LOW (0 - 15 grains)|1.6|10/01/2009
Trees|2|LOW (0 - 45 grains)|0.6|10/01/2009
Weeds|20|LOW (0 - 30 grains)|6.4|10/01/2009
Grasses|5|LOW (0 - 15 grains)|1.6|10/02/2009
Trees|5|LOW (0 - 45 grains)|1.6|10/02/2009
Weeds|20|LOW (0 - 30 grains)|6.4|10/02/2009
Grasses|8|LOW (0 - 15 grains)|2.6|10/05/2009
Trees|3|LOW (0 - 45 grains)|1.0|10/05/2009
Weeds|41|MODERATE (31 - 120 grains)|13.1|10/05/2009
Grasses|0|LOW (0 - 15 grains)|0.0|10/06/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/06/2009
Weeds|3|LOW (0 - 30 grains)|1.0|10/06/2009
Grasses|2|LOW (0 - 15 grains)|0.6|10/07/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/07/2009
Weeds|9|LOW (0 - 30 grains)|2.9|10/07/2009
Grasses|10|LOW (0 - 15 grains)|3.2|10/08/2009
Trees|4|LOW (0 - 45 grains)|1.3|10/08/2009
Weeds|68|MODERATE (31 - 120 grains)|21.8|10/08/2009
Grasses|9|LOW (0 - 15 grains)|2.9|10/09/2009
Trees|2|LOW (0 - 45 grains)|0.6|10/09/2009
Weeds|191|HIGH (121 - 1200 grains)|61.2|10/09/2009
Grasses|14|LOW (0 - 15 grains)|4.5|10/12/2009
Trees|2|LOW (0 - 45 grains)|0.6|10/12/2009
Weeds|35|MODERATE (31 - 120 grains)|11.2|10/12/2009
Grasses|4|LOW (0 - 15 grains)|1.3|10/13/2009
Trees|1|LOW (0 - 45 grains)|0.3|10/13/2009
Weeds|2|LOW (0 - 30 grains)|0.6|10/13/2009
Grasses|5|LOW (0 - 15 grains)|1.6|10/14/2009
Trees|1|LOW (0 - 45 grains)|0.3|10/14/2009
Weeds|13|LOW (0 - 30 grains)|4.2|10/14/2009
Grasses|0|LOW (0 - 15 grains)|0.0|10/15/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/15/2009
Weeds|1|LOW (0 - 30 grains)|0.3|10/15/2009
Grasses|0|LOW (0 - 15 grains)|0.0|10/16/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/16/2009
Weeds|0|LOW (0 - 30 grains)|0.0|10/16/2009
Grasses|0|LOW (0 - 15 grains)|0.0|10/19/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/19/2009
Weeds|0|LOW (0 - 30 grains)|0.0|10/19/2009
Grasses|0|LOW (0 - 15 grains)|0.0|10/21/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/21/2009
Weeds|0|LOW (0 - 30 grains)|0.0|10/21/2009
Grasses|4|LOW (0 - 15 grains)|1.3|10/22/2009
Trees|1|LOW (0 - 45 grains)|0.3|10/22/2009
Weeds|9|LOW (0 - 30 grains)|2.9|10/22/2009
Grasses|0|LOW (0 - 15 grains)|0.0|10/23/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/23/2009
Weeds|0|LOW (0 - 30 grains)|0.0|10/23/2009
Grasses|1|LOW (0 - 15 grains)|0.3|10/26/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/26/2009
Weeds|7|LOW (0 - 30 grains)|2.2|10/26/2009
Grasses|2|LOW (0 - 15 grains)|0.6|10/27/2009
Trees|1|LOW (0 - 45 grains)|0.3|10/27/2009
Weeds|0|LOW (0 - 30 grains)|0.0|10/27/2009
Grasses|0|LOW (0 - 15 grains)|0.0|10/28/2009
Trees|0|LOW (0 - 45 grains)|0.0|10/28/2009
Weeds|1|LOW (0 - 30 grains)|0.3|10/28/2009
Grasses|3|LOW (0 - 15 grains)|1.0|10/29/2009
Trees|1|LOW (0 - 45 grains)|0.3|10/29/2009
Weeds|1|LOW (0 - 30 grains)|0.3|10/29/2009
Grasses|3|LOW (0 - 15 grains)|1.0|10/30/2009
Trees|6|LOW (0 - 45 grains)|1.9|10/30/2009
Weeds|0|LOW (0 - 30 grains)|0.0|10/30/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/02/2009
Trees|0|LOW (0 - 45 grains)|0.0|11/02/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/02/2009
Grasses|1|LOW (0 - 15 grains)|0.3|11/03/2009
Trees|2|LOW (0 - 45 grains)|0.6|11/03/2009
Weeds|1|LOW (0 - 30 grains)|0.3|11/03/2009
Grasses|1|LOW (0 - 15 grains)|0.3|11/04/2009
Trees|8|LOW (0 - 45 grains)|2.6|11/04/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/04/2009
Grasses|1|LOW (0 - 15 grains)|0.3|11/05/2009
Trees|3|LOW (0 - 45 grains)|1.0|11/05/2009
Weeds|3|LOW (0 - 30 grains)|1.0|11/05/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/06/2009
Trees|2|LOW (0 - 45 grains)|0.6|11/06/2009
Weeds|2|LOW (0 - 30 grains)|0.6|11/06/2009
Grasses|3|LOW (0 - 15 grains)|1.0|11/09/2009
Trees|3|LOW (0 - 45 grains)|1.0|11/09/2009
Weeds|4|LOW (0 - 30 grains)|1.3|11/09/2009
Grasses|1|LOW (0 - 15 grains)|0.3|11/10/2009
Trees|3|LOW (0 - 45 grains)|1.0|11/10/2009
Weeds|1|LOW (0 - 30 grains)|0.3|11/10/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/13/2009
Trees|0|LOW (0 - 45 grains)|0.0|11/13/2009
Weeds|1|LOW (0 - 30 grains)|0.3|11/13/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/16/2009
Trees|0|LOW (0 - 45 grains)|0.0|11/16/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/16/2009
Grasses|3|LOW (0 - 15 grains)|1.0|11/17/2009
Trees|4|LOW (0 - 45 grains)|1.3|11/17/2009
Weeds|5|LOW (0 - 30 grains)|1.6|11/17/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/18/2009
Trees|1|LOW (0 - 45 grains)|0.3|11/18/2009
Weeds|2|LOW (0 - 30 grains)|0.6|11/18/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/19/2009
Trees|0|LOW (0 - 45 grains)|0.0|11/19/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/19/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/20/2009
Trees|2|LOW (0 - 45 grains)|0.6|11/20/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/20/2009
Grasses|2|LOW (0 - 15 grains)|0.6|11/23/2009
Trees|1|LOW (0 - 45 grains)|0.3|11/23/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/23/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/24/2009
Trees|2|LOW (0 - 45 grains)|0.6|11/24/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/24/2009
Grasses|0|LOW (0 - 15 grains)|0.0|11/25/2009
Trees|0|LOW (0 - 45 grains)|0.0|11/25/2009
Weeds|0|LOW (0 - 30 grains)|0.0|11/25/2009
Grasses|0|LOW (0 - 15 grains)|0.0|03/03/2010
Trees|0|LOW (0 - 45 grains)|0.0|03/03/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/03/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/08/2010
Trees|1332|HIGH (271 - 3000 grains)|426.9|03/08/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/08/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/09/2010
Trees|1260|HIGH (271 - 3000 grains)|403.8|03/09/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/09/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/10/2010
Trees|3864|VERY HIGH (3001 - 999999 grains)|1238.5|03/10/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/10/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/11/2010
Trees|58|MODERATE (46 - 270 grains)|18.6|03/11/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/11/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/12/2010
Trees|459|HIGH (271 - 3000 grains)|147.1|03/12/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/12/2010
Grasses|1|LOW (0 - 15 grains)|0.3|03/15/2010
Trees|460|HIGH (271 - 3000 grains)|147.4|03/15/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/15/2010
Grasses|1|LOW (0 - 15 grains)|0.3|03/16/2010
Trees|528|HIGH (271 - 3000 grains)|169.2|03/16/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/16/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/17/2010
Trees|321|HIGH (271 - 3000 grains)|102.9|03/17/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/17/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/18/2010
Trees|254|MODERATE (46 - 270 grains)|81.4|03/18/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/18/2010
Grasses|2|LOW (0 - 15 grains)|0.6|03/19/2010
Trees|1514|HIGH (271 - 3000 grains)|485.3|03/19/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/19/2010
Grasses|8|LOW (0 - 15 grains)|2.6|03/22/2010
Trees|461|HIGH (271 - 3000 grains)|147.8|03/22/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/22/2010
Grasses|2|LOW (0 - 15 grains)|0.6|03/23/2010
Trees|237|MODERATE (46 - 270 grains)|76.0|03/23/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/23/2010
Grasses|5|LOW (0 - 15 grains)|1.6|03/24/2010
Trees|275|HIGH (271 - 3000 grains)|88.1|03/24/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/24/2010
Grasses|8|LOW (0 - 15 grains)|2.6|03/25/2010
Trees|244|MODERATE (46 - 270 grains)|78.2|03/25/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/25/2010
Grasses|7|LOW (0 - 15 grains)|2.2|03/26/2010
Trees|662|HIGH (271 - 3000 grains)|212.2|03/26/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/26/2010
Grasses|1|LOW (0 - 15 grains)|0.3|03/29/2010
Trees|46|MODERATE (46 - 270 grains)|14.7|03/29/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/29/2010
Grasses|5|LOW (0 - 15 grains)|1.6|03/30/2010
Trees|741|HIGH (271 - 3000 grains)|237.5|03/30/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/30/2010
Grasses|0|LOW (0 - 15 grains)|0.0|03/31/2010
Trees|0|LOW (0 - 45 grains)|0.0|03/31/2010
Weeds|0|LOW (0 - 30 grains)|0.0|03/31/2010
Grasses|9|LOW (0 - 15 grains)|2.9|04/01/2010
Trees|1860|HIGH (271 - 3000 grains)|596.2|04/01/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/01/2010
Grasses|0|LOW (0 - 15 grains)|0.0|04/05/2010
Trees|6796|VERY HIGH (3001 - 999999 grains)|2178.2|04/05/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/05/2010
Grasses|1|LOW (0 - 15 grains)|0.3|04/06/2010
Trees|9669|VERY HIGH (3001 - 999999 grains)|3099.0|04/06/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/06/2010
Grasses|0|LOW (0 - 15 grains)|0.0|04/07/2010
Trees|10995|VERY HIGH (3001 - 999999 grains)|3524.0|04/07/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/07/2010
Grasses|5|LOW (0 - 15 grains)|1.6|04/08/2010
Trees|3717|VERY HIGH (3001 - 999999 grains)|1191.3|04/08/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/08/2010
Grasses|0|LOW (0 - 15 grains)|0.0|04/09/2010
Trees|1659|HIGH (271 - 3000 grains)|531.7|04/09/2010
Weeds|30|LOW (0 - 30 grains)|9.6|04/09/2010
Grasses|2|LOW (0 - 15 grains)|0.6|04/12/2010
Trees|892|HIGH (271 - 3000 grains)|285.9|04/12/2010
Weeds|8|LOW (0 - 30 grains)|2.6|04/12/2010
Grasses|2|LOW (0 - 15 grains)|0.6|04/13/2010
Trees|1785|HIGH (271 - 3000 grains)|572.1|04/13/2010
Weeds|1|LOW (0 - 30 grains)|0.3|04/13/2010
Grasses|6|LOW (0 - 15 grains)|1.9|04/14/2010
Trees|1197|HIGH (271 - 3000 grains)|383.7|04/14/2010
Weeds|3|LOW (0 - 30 grains)|1.0|04/14/2010
Grasses|0|LOW (0 - 15 grains)|0.0|04/15/2010
Trees|0|LOW (0 - 45 grains)|0.0|04/15/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/15/2010
Grasses|5|LOW (0 - 15 grains)|1.6|04/16/2010
Trees|725|HIGH (271 - 3000 grains)|232.4|04/16/2010
Weeds|3|LOW (0 - 30 grains)|1.0|04/16/2010
Grasses|5|LOW (0 - 15 grains)|1.6|04/19/2010
Trees|799|HIGH (271 - 3000 grains)|256.1|04/19/2010
Weeds|3|LOW (0 - 30 grains)|1.0|04/19/2010
Grasses|8|LOW (0 - 15 grains)|2.6|04/20/2010
Trees|622|HIGH (271 - 3000 grains)|199.4|04/20/2010
Weeds|2|LOW (0 - 30 grains)|0.6|04/20/2010
Grasses|4|LOW (0 - 15 grains)|1.3|04/21/2010
Trees|402|HIGH (271 - 3000 grains)|128.8|04/21/2010
Weeds|35|MODERATE (31 - 120 grains)|11.2|04/21/2010
Grasses|2|LOW (0 - 15 grains)|0.6|04/22/2010
Trees|312|HIGH (271 - 3000 grains)|100.0|04/22/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/22/2010
Grasses|8|LOW (0 - 15 grains)|2.6|04/23/2010
Trees|1256|HIGH (271 - 3000 grains)|402.6|04/23/2010
Weeds|7|LOW (0 - 30 grains)|2.2|04/23/2010
Grasses|17|MODERATE (16 - 60 grains)|5.4|04/26/2010
Trees|543|HIGH (271 - 3000 grains)|174.0|04/26/2010
Weeds|22|LOW (0 - 30 grains)|7.1|04/26/2010
Grasses|12|LOW (0 - 15 grains)|3.8|04/27/2010
Trees|146|MODERATE (46 - 270 grains)|46.8|04/27/2010
Weeds|2|LOW (0 - 30 grains)|0.6|04/27/2010
Grasses|0|LOW (0 - 15 grains)|0.0|04/28/2010
Trees|0|LOW (0 - 45 grains)|0.0|04/28/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/28/2010
Grasses|0|LOW (0 - 15 grains)|0.0|04/29/2010
Trees|0|LOW (0 - 45 grains)|0.0|04/29/2010
Weeds|0|LOW (0 - 30 grains)|0.0|04/29/2010
Grasses|120|HIGH (61 - 600 grains)|38.5|05/13/2010
Trees|212|MODERATE (46 - 270 grains)|67.9|05/13/2010
Weeds|6|LOW (0 - 30 grains)|1.9|05/13/2010
Grasses|80|HIGH (61 - 600 grains)|25.6|05/14/2010
Trees|40|LOW (0 - 45 grains)|12.8|05/14/2010
Weeds|35|MODERATE (31 - 120 grains)|11.2|05/14/2010
Grasses|42|MODERATE (16 - 60 grains)|13.5|05/17/2010
Trees|10|LOW (0 - 45 grains)|3.2|05/17/2010
Weeds|0|LOW (0 - 30 grains)|0.0|05/17/2010
Grasses|1|LOW (0 - 15 grains)|0.3|05/18/2010
Trees|11|LOW (0 - 45 grains)|3.5|05/18/2010
Weeds|22|LOW (0 - 30 grains)|7.1|05/18/2010
Grasses|7|LOW (0 - 15 grains)|2.2|05/19/2010
Trees|25|LOW (0 - 45 grains)|8.0|05/19/2010
Weeds|0|LOW (0 - 30 grains)|0.0|05/19/2010
Grasses|13|LOW (0 - 15 grains)|4.2|05/20/2010
Trees|11|LOW (0 - 45 grains)|3.5|05/20/2010
Weeds|1|LOW (0 - 30 grains)|0.3|05/20/2010
Grasses|59|MODERATE (16 - 60 grains)|18.9|05/21/2010
Trees|46|MODERATE (46 - 270 grains)|14.7|05/21/2010
Weeds|7|LOW (0 - 30 grains)|2.2|05/21/2010
Grasses|22|MODERATE (16 - 60 grains)|7.1|05/24/2010
Trees|25|LOW (0 - 45 grains)|8.0|05/24/2010
Weeds|4|LOW (0 - 30 grains)|1.3|05/24/2010
Grasses|7|LOW (0 - 15 grains)|2.2|05/25/2010
Trees|7|LOW (0 - 45 grains)|2.2|05/25/2010
Weeds|8|LOW (0 - 30 grains)|2.6|05/25/2010
Grasses|1|LOW (0 - 15 grains)|0.3|05/26/2010
Trees|18|LOW (0 - 45 grains)|5.8|05/26/2010
Weeds|13|LOW (0 - 30 grains)|4.2|05/26/2010
Grasses|48|MODERATE (16 - 60 grains)|15.4|05/27/2010
Trees|9|LOW (0 - 45 grains)|2.9|05/27/2010
Weeds|9|LOW (0 - 30 grains)|2.9|05/27/2010
Grasses|4|LOW (0 - 15 grains)|1.3|05/28/2010
Trees|34|LOW (0 - 45 grains)|10.9|05/28/2010
Weeds|4|LOW (0 - 30 grains)|1.3|05/28/2010
Grasses|5|LOW (0 - 15 grains)|1.6|06/01/2010
Trees|7|LOW (0 - 45 grains)|2.2|06/01/2010
Weeds|3|LOW (0 - 30 grains)|1.0|06/01/2010
Grasses|2|LOW (0 - 15 grains)|0.6|06/02/2010
Trees|11|LOW (0 - 45 grains)|3.5|06/02/2010
Weeds|1|LOW (0 - 30 grains)|0.3|06/02/2010
Grasses|4|LOW (0 - 15 grains)|1.3|06/03/2010
Trees|9|LOW (0 - 45 grains)|2.9|06/03/2010
Weeds|2|LOW (0 - 30 grains)|0.6|06/03/2010
Grasses|5|LOW (0 - 15 grains)|1.6|06/04/2010
Trees|5|LOW (0 - 45 grains)|1.6|06/04/2010
Weeds|5|LOW (0 - 30 grains)|1.6|06/04/2010
Grasses|44|MODERATE (16 - 60 grains)|14.1|06/07/2010
Trees|38|LOW (0 - 45 grains)|12.2|06/07/2010
Weeds|18|LOW (0 - 30 grains)|5.8|06/07/2010
Grasses|28|MODERATE (16 - 60 grains)|9.0|06/08/2010
Trees|8|LOW (0 - 45 grains)|2.6|06/08/2010
Weeds|6|LOW (0 - 30 grains)|1.9|06/08/2010
Grasses|9|LOW (0 - 15 grains)|2.9|06/09/2010
Trees|11|LOW (0 - 45 grains)|3.5|06/09/2010
Weeds|19|LOW (0 - 30 grains)|6.1|06/09/2010
Grasses|31|MODERATE (16 - 60 grains)|9.9|06/10/2010
Trees|28|LOW (0 - 45 grains)|9.0|06/10/2010
Weeds|9|LOW (0 - 30 grains)|2.9|06/10/2010
Grasses|14|LOW (0 - 15 grains)|4.5|06/11/2010
Trees|14|LOW (0 - 45 grains)|4.5|06/11/2010
Weeds|17|LOW (0 - 30 grains)|5.4|06/11/2010
Grasses|42|MODERATE (16 - 60 grains)|13.5|06/14/2010
Trees|22|LOW (0 - 45 grains)|7.1|06/14/2010
Weeds|17|LOW (0 - 30 grains)|5.4|06/14/2010
Grasses|6|LOW (0 - 15 grains)|1.9|06/15/2010
Trees|9|LOW (0 - 45 grains)|2.9|06/15/2010
Weeds|9|LOW (0 - 30 grains)|2.9|06/15/2010
Grasses|14|LOW (0 - 15 grains)|4.5|06/16/2010
Trees|5|LOW (0 - 45 grains)|1.6|06/16/2010
Weeds|25|LOW (0 - 30 grains)|8.0|06/16/2010
Grasses|4|LOW (0 - 15 grains)|1.3|06/17/2010
Trees|4|LOW (0 - 45 grains)|1.3|06/17/2010
Weeds|8|LOW (0 - 30 grains)|2.6|06/17/2010
Grasses|5|LOW (0 - 15 grains)|1.6|06/18/2010
Trees|4|LOW (0 - 45 grains)|1.3|06/18/2010
Weeds|13|LOW (0 - 30 grains)|4.2|06/18/2010
Grasses|24|MODERATE (16 - 60 grains)|7.7|06/21/2010
Trees|9|LOW (0 - 45 grains)|2.9|06/21/2010
Weeds|7|LOW (0 - 30 grains)|2.2|06/21/2010
Grasses|15|LOW (0 - 15 grains)|4.8|06/22/2010
Trees|9|LOW (0 - 45 grains)|2.9|06/22/2010
Weeds|1|LOW (0 - 30 grains)|0.3|06/22/2010
Grasses|9|LOW (0 - 15 grains)|2.9|06/23/2010
Trees|4|LOW (0 - 45 grains)|1.3|06/23/2010
Weeds|5|LOW (0 - 30 grains)|1.6|06/23/2010
Grasses|16|MODERATE (16 - 60 grains)|5.1|06/24/2010
Trees|11|LOW (0 - 45 grains)|3.5|06/24/2010
Weeds|3|LOW (0 - 30 grains)|1.0|06/24/2010
Grasses|4|LOW (0 - 15 grains)|1.3|06/25/2010
Trees|7|LOW (0 - 45 grains)|2.2|06/25/2010
Weeds|2|LOW (0 - 30 grains)|0.6|06/25/2010
Grasses|15|LOW (0 - 15 grains)|4.8|06/28/2010
Trees|9|LOW (0 - 45 grains)|2.9|06/28/2010
Weeds|3|LOW (0 - 30 grains)|1.0|06/28/2010
Grasses|0|LOW (0 - 15 grains)|0.0|06/29/2010
Trees|2|LOW (0 - 45 grains)|0.6|06/29/2010
Weeds|1|LOW (0 - 30 grains)|0.3|06/29/2010
Grasses|7|LOW (0 - 15 grains)|2.2|06/30/2010
Trees|5|LOW (0 - 45 grains)|1.6|06/30/2010
Weeds|8|LOW (0 - 30 grains)|2.6|06/30/2010
Grasses|7|LOW (0 - 15 grains)|2.2|07/01/2010
Trees|6|LOW (0 - 45 grains)|1.9|07/01/2010
Weeds|4|LOW (0 - 30 grains)|1.3|07/01/2010
Grasses|10|LOW (0 - 15 grains)|3.2|07/02/2010
Trees|5|LOW (0 - 45 grains)|1.6|07/02/2010
Weeds|8|LOW (0 - 30 grains)|2.6|07/02/2010
Grasses|30|MODERATE (16 - 60 grains)|9.6|07/06/2010
Trees|11|LOW (0 - 45 grains)|3.5|07/06/2010
Weeds|7|LOW (0 - 30 grains)|2.2|07/06/2010
Grasses|3|LOW (0 - 15 grains)|1.0|07/07/2010
Trees|4|LOW (0 - 45 grains)|1.3|07/07/2010
Weeds|7|LOW (0 - 30 grains)|2.2|07/07/2010
Grasses|9|LOW (0 - 15 grains)|2.9|07/08/2010
Trees|2|LOW (0 - 45 grains)|0.6|07/08/2010
Weeds|4|LOW (0 - 30 grains)|1.3|07/08/2010
Grasses|7|LOW (0 - 15 grains)|2.2|07/09/2010
Trees|4|LOW (0 - 45 grains)|1.3|07/09/2010
Weeds|5|LOW (0 - 30 grains)|1.6|07/09/2010
Grasses|15|LOW (0 - 15 grains)|4.8|07/12/2010
Trees|4|LOW (0 - 45 grains)|1.3|07/12/2010
Weeds|5|LOW (0 - 30 grains)|1.6|07/12/2010
Grasses|18|MODERATE (16 - 60 grains)|5.8|07/13/2010
Trees|5|LOW (0 - 45 grains)|1.6|07/13/2010
Weeds|6|LOW (0 - 30 grains)|1.9|07/13/2010
Grasses|16|MODERATE (16 - 60 grains)|5.1|07/14/2010
Trees|4|LOW (0 - 45 grains)|1.3|07/14/2010
Weeds|9|LOW (0 - 30 grains)|2.9|07/14/2010
Grasses|17|MODERATE (16 - 60 grains)|5.4|07/15/2010
Trees|10|LOW (0 - 45 grains)|3.2|07/15/2010
Weeds|1|LOW (0 - 30 grains)|0.3|07/15/2010
Grasses|12|LOW (0 - 15 grains)|3.8|07/16/2010
Trees|3|LOW (0 - 45 grains)|1.0|07/16/2010
Weeds|11|LOW (0 - 30 grains)|3.5|07/16/2010
Grasses|12|LOW (0 - 15 grains)|3.8|07/19/2010
