Total (Grains/m^3)|Comments|Date
0.0|We are awaiting the completion of some maintenance on our pollen sampler|03/03/2010
426.9|Predominant type - trees -juniper, elm Estimated count from 1/3 of rod counted|03/08/2010
403.8|Predominant type - trees - juniper, elm Estimated count based on 1/3 of rod counted|03/09/2010
1238.5|Juniper, Elm, Pine,|03/10/2010
18.6|Predominant type - trees - elm, maple|03/11/2010
147.1|Elm, Juniper|03/12/2010
147.8|Predominant type - trees - elm, juniper|03/15/2010
169.6|Predominant type - trees - elm, juniper|03/16/2010
102.9|Predominant type - trees - elm, juniper|03/17/2010
81.4|Predominant type - trees - juniper, elm|03/18/2010
485.9|Juniper|03/19/2010
150.3|Predominant type - trees - juniper, oaks, maple|03/22/2010
76.6|Predominant type - trees - oaks, juniper|03/23/2010
89.7|Elm, Oak, Maple|03/24/2010
80.8|Predominant type - trees - juniper, oak|03/25/2010
214.4|Predominant pollen types are Oak and Juniper|03/26/2010
15.1|Predominant type - trees - birch, oak|03/29/2010
239.1|Predominant type - trees - birch, oak|03/30/2010
0.0|NO POLLEN COUNT TODAY DUE TO A SAMPLING PROBLEM|03/31/2010
599.0|Predominant type - trees-birch,oaks|04/01/2010
2178.2|Pine, Oak|04/05/2010
3099.4|This is an estimated count|04/06/2010
3524.0|Predominant types are Pine and Oak|04/07/2010
1192.9|This is a partial sample - due to a blown fuse, but includes the morning period - oaks, pine predominant|04/08/2010
541.3|Predominant type - trees - oak (Revised report)|04/09/2010
289.1|Predominant type - trees - pine, oaks Estimated count|04/12/2010
573.1|Predominant type - trees - oaks, pine Estimated count|04/13/2010
386.5|Predominant pollen is Pine and Oak|04/14/2010
0.0|Our pollen sampler again blew a fuse|04/15/2010
234.9|Predominant type is Pine followed by Oak|04/16/2010
258.7|Predominant type - trees - oaks, pine|04/19/2010
202.6|Predominant type - trees -pine, oaks|04/20/2010
141.3|Predominant types are Oak and Pine|04/21/2010
100.6|Predominant type - trees - oaks|04/22/2010
407.4|Predomiant type - trees - oaks, pine, mulberry|04/23/2010
186.5|Predominant type - trees - pine, hickory, oaks|04/26/2010
51.3|Predominant type - trees - oaks, pine|04/27/2010
0.0|Not a true report|04/28/2010
0.0|Our pollen sampler has been sent for repairs|04/29/2010
108.3|Predominant type - trees - pine, hickory|05/13/2010
49.7|predominant type is grass|05/14/2010
16.7|Predominant type - grasses|05/17/2010
10.9|weeds are the predominant type|05/18/2010
10.3|Pine is the predominant type|05/19/2010
8.0|Predominant type - grasses|05/20/2010
35.9|predominant type of pollen is grasses|05/21/2010
16.3|Trees and Grasses predominant|05/24/2010
7.1|Predominant type - weeds|05/25/2010
10.3|Predominant type - trees|05/26/2010
21.2|Predominant type - grasses|05/27/2010
13.5|Predominant type is Pine|05/28/2010
4.8|Predominant type is grass|06/01/2010
4.5|Predominant type is pine trees|06/02/2010
4.8|Predominant type - trees|06/03/2010
4.8|none predominanat|06/04/2010
32.1|Predominant type - grasses|06/07/2010
13.5|Predominant type - grasses|06/08/2010
12.5|predominant type is weeds|06/09/2010
21.8|Predominant type - grasses|06/10/2010
14.4|WEEDS ARE PREDOMINANT|06/11/2010
26.0|Predominant type: grasses|06/14/2010
7.7|Predominant type: weeds|06/15/2010
14.1|Predominant type: weeds|06/16/2010
5.1|Predominant type - weeds|06/17/2010
7.1|Predominant type - weeds|06/18/2010
12.8|Predominant type - grasses|06/21/2010
8.0|Predominant type - grasses|06/22/2010
5.8|Predominant type - grasses|06/23/2010
9.6|Predominant type - grasses|06/24/2010
4.2|predominant type is weeds|06/25/2010
8.7|Predominant type - grasses|06/28/2010
1.0||06/29/2010
6.4|predominant type: weeds|06/30/2010
5.4|Predominant type - grasses|07/01/2010
7.4|predominant type: grasses|07/02/2010
15.4|Predominant type - grasses|07/06/2010
4.5|predominant type is weeds|07/07/2010
4.8|Predominant type - grasses|07/08/2010
5.1|Predominant type - Grasses|07/09/2010
7.7|Predominant type - grasses|07/12/2010
9.3|Predominant type - grasses|07/13/2010
9.3|predominant type: grasses|07/14/2010
9.0|Predominant type - grasses|07/15/2010
8.3|predominant type: grasses|07/16/2010
4.8|Predominant type -grasses|07/19/2010
5.1|Predominant type: grasses|07/20/2010
12.2|Predominant type: grasses|07/21/2010
22.8|Predominant type - trees - pine|07/22/2010
5.4|Predominant type: 7|07/23/2010
5.1|Predominant type - grasses|07/26/2010
11.2|Predominant type - grasses|07/27/2010
8.0|predominant type: grasses|07/28/2010
8.3|Predominant type - grasses|07/29/2010
3.5|predominant type: grasses|07/30/2010
4.5|Predominant type - grasses|08/02/2010
7.7|Predominant type - grasses|08/03/2010
24.7|Predominant type: grasses|08/04/2010
13.8|Predominant type - grasses|08/05/2010
0.6|no predominant type|08/06/2010
18.6|Predominant type - grasses|08/09/2010
41.3|Predominant type - grasses|08/10/2010
27.2|Predominant type: grasses|08/11/2010
9.0|Predominant type - grasses|08/12/2010
6.4|NO PREDOMINANT TYPE|08/13/2010
42.9|Predominant type - grasses|08/16/2010
69.6|Predominant type - grasses|08/17/2010
46.5|predominant type: grasses|08/18/2010
20.2|Predominant type - grasses|08/19/2010
1.3|none predominant|08/20/2010
15.4|predominant type: grasses|08/23/2010
18.9|Predominant type - weeds - ragweed|08/24/2010
17.9|Predominant type: grasses|08/25/2010
11.2|Predominant type - weeds - nettle, ragweed|08/26/2010
13.8|Predominant type - weeds - ragwee, nettle|08/27/2010
17.6|Predominant type - weeds - pigweed|08/30/2010
30.4|Predominant type - weeds - ragweed, nettle|08/31/2010
31.1|predominant type: trees|09/01/2010
50.3|Predominant type - grasses|09/02/2010
46.5|Predominant type - grasses Follow our reports on Twitter@NCPollen|09/03/2010
67.0|Predominant type - grasses Follow our reports on Twitter@NCPollen|09/07/2010
80.1|predominant type: grasses Follow our reports on Tweeter @NCPollen|09/08/2010
56.1|Predominant type - grasses Follow our reports on Twitter@NCPollen|09/09/2010
60.3|Predominant type: weeds Follow us onTwitter@NCPollen|09/10/2010
34.9|Predominant type - weeds - ragweed|09/13/2010
47.1|Predominant type - weeds- ragweed|09/14/2010
51.6|Predominant type - weeds - ragweed|09/16/2010
65.7|Predominant type: Trees: Elm|09/17/2010
36.5|Predominant type - weeds - ragweed|09/20/2010
24.7|Predominant type - weeds - ragweed|09/21/2010
67.0|Predominant type - weeds - ragweed, lamb's quarters|09/22/2010
35.9|Predominant type - weeds - ragweed, lamb's quarter|09/23/2010
22.1|Predominant type: weeds|09/24/2010
7.4|Predominant type - weeds|09/27/2010
3.2|Predominant type - grasses|09/28/2010
6.4|Predominant type: weeds|09/29/2010
1.9||09/30/2010
2.6||10/01/2010
9.6|Predominant type - weeds- ragweed|10/04/2010
4.5|Predominant type - weeds - ragweed|10/05/2010
5.1|predominant type: weeds|10/06/2010
7.1|Predominant type - weeds - ragweed|10/07/2010
18.3|Predominant type - weeds - ragweed|10/08/2010
11.9|Predominant type - weeds - ragweed|10/11/2010
15.1|Predominant type - weeds - ragweed|10/12/2010
2.9|Predominant type: weeds|10/13/2010
12.5|Predominant type - weeds - ragweed|10/14/2010
1.3|predominant type: weeds|10/15/2010
3.5|Predominant type - weeds - ragweed|10/18/2010
3.8|Predominant type - trees|10/19/2010
7.4|Predominant type: weeds|10/20/2010
6.7|Prdominant type - weeds|10/25/2010
4.2|Predominant type - grasses|10/26/2010
7.4|Predominant type - weeds - ragweed|10/27/2010
8.7|Predominant type - weeds|10/28/2010
4.8|Predominant type: weeds|10/29/2010
3.5|Predominant type - trees|11/01/2010
9.3|Predominant type - grasses|11/02/2010
3.8|predominant type: grasses|11/03/2010
0.0|there was no pollen today|11/04/2010
0.3|predominant type: grass|11/05/2010
0.3||11/08/2010
0.6|predominant type: trees|11/09/2010
3.5|Predominant type - grasses|11/10/2010
1.9|Predominant type - trees|11/15/2010
1.9|Our last pollen report of the season will be on Friday|11/16/2010
0.6|Predominant type: trees|11/17/2010
3.5|Predominant type - weeds Friday will be our last pollen report of the season|11/18/2010
0.0|there is no pollen to report today|11/19/2010
109.0|Predominant type - junipers|02/28/2011
185.9|Predominanat type - junipers, maple|03/01/2011
72.8|Predominant Type of Pollen Juniper/Cypress, Elm|03/02/2011
98.7|Predominant type - junipers|03/03/2011
21.5|Predominant Pollen type: Juniper|03/04/2011
61.9|Predominant type - junipers|03/07/2011
128.8|Predominant type - junipers|03/08/2011
11.5|Predominant pollen type: Juniiper|03/09/2011
15.1|Predominant type - oaks|03/10/2011
22.4||03/11/2011
265.1|Predominant type - junipers|03/14/2011
171.8|Predominant type - junipers|03/15/2011
25.6|Predominant type - pine, oaks|03/16/2011
40.4|Predominant type - junipers, pine|03/17/2011
121.8|Predominant type: Birch and Maple|03/18/2011
296.2|Predominant type - oaks, birch|03/21/2011
967.3|Predominant type - oaks, birch Estimated count based on 1/3 of rod counted|03/22/2011
1429.8|Predominant type: Oaks, Birch|03/23/2011
1348.1|Predominant type - oaks, birch, sweetgum, pine Estimated based on 1/3 of rod counted|03/24/2011
924.0|Predominant type - birch, oaks, pine|03/25/2011
86.5|Predominate type: Pine, Oak|03/28/2011
252.6|Predominant type - pine|03/29/2011
330.8|Predominant type: Sweet Gum, Pine, Oak|03/30/2011
24.4|Predominant type - pine, sweetgum, oaks|03/31/2011
208.3|Predominant type: Oak, Pine|04/01/2011
2238.5|This is an estimated count|04/04/2011
1315.4|Predominant type - pine, oaks Estimated count based on 1/3 of rod counted|04/05/2011
808.7|/this is an estimated count based on 1/3 of rod counted|04/06/2011
553.8|Predominant type - oaks, pines|04/07/2011
480.8|Predominant type - oaks Estimated count based on 1/3 of rod counted|04/11/2011
44.9|Predominant type - oaks|04/12/2011
757.7|Predominant type - oaks|04/13/2011
676.9|Predominant type - oaks Estimated count based on 1/3 of rod counted|04/14/2011
483.7|Predominant type - oaks Estimated count based on 1/3 of rod counted|04/18/2011
260.3|Predominant type - oaks, pine|04/19/2011
353.5|Predominant type: Oak, Pine|04/20/2011
332.4|Predominant type - oaks No pollen report tomorrow - State holiday|04/21/2011
128.5|Predominant type - oaks, hickory, pine|04/25/2011
41.3|Predominant type - oaks, hickory|04/26/2011
34.9|Predominant type: trees|04/27/2011
76.6|Predominant type - Trees - hickory, oak|04/28/2011
99.0|Predominant type: Oak, Birch|04/29/2011
51.0|Predominant type- trees - hickory, oaks|05/02/2011
69.6|Predominant type - Trees - hickory|05/03/2011
19.6|Predominant type: Hickory/Walnut|05/04/2011
104.5|Predominant type -Trees -oaks|05/05/2011
35.9|Predominant type: trees|05/06/2011
27.6|Predominant type: Oak|05/09/2011
184.6|Predominant type - Trees - birch, oak, hickory|05/10/2011
486.5|Predominant type - birch,oak Estimated count based on 1/3 of rod counted|05/11/2011
196.2|Predominant type - birch,oaks|05/12/2011
72.4|Predominant type: Birch|05/13/2011
33.0|Predominant type - Trees|05/16/2011
41.3|Predominant type - Grasses|05/17/2011
12.8|Predominant type: trees|05/18/2011
15.7|Predominant type - grasses|05/19/2011
59.3|Predominant type: grasses|05/20/2011
37.2|Predominant type - Trees|05/23/2011
21.8|Predominant type - grasses|05/24/2011
56.4|Predominant type: trees|05/25/2011
17.6|Predominant type - grasses|05/26/2011
15.1|Predominant type: trees|05/27/2011
18.9|Predominant type: trees|06/01/2011
25.3|Predominant type - trees|06/02/2011
34.9|Predominant type: grasses|06/03/2011
15.1|Predominant type - grasses|06/06/2011
31.1|Predominant type - grasses|06/07/2011
21.2|Predominant Type: trees|06/08/2011
20.8|Predominant type - grasses|06/09/2011
8.3|Predominant type: grasses|06/10/2011
16.3|Predominant type: weeds|06/13/2011
45.8|Predominant type - grasses|06/14/2011
6.7|Predominant type: trees|06/15/2011
8.3|Predominant type - grasses|06/16/2011
7.4|Predominant type: trees|06/17/2011
5.4|Predominant type - trees|06/20/2011
10.3|Predominant type - trees|06/21/2011
3.8|Predominant type: trees|06/22/2011
7.7|Predominant type - trees|06/23/2011
4.5|Predominant type: trees|06/24/2011
11.5|Predominant type - grasses|06/27/2011
6.7|Predominant type - trees|06/28/2011
3.5|Predominant type: Pine|06/29/2011
8.7|Predominant type - trees|07/01/2011
4.2|No predominant type|07/05/2011
5.1|Predominant type - trees|07/06/2011
2.9|Predominant type - trees|07/07/2011
3.2|Predominant type: trees|07/08/2011
17.3|Predominant type - grasses|07/11/2011
0.0|Pollen rod broken during sampling - no report today|07/12/2011
17.0|Predominant type: grasses|07/13/2011
16.7|Predominant type - grasses|07/14/2011
7.4|Predominant type: Weeds|07/15/2011
7.7|Predominant type - grasses|07/19/2011
2.9|Predominant type: trees|07/20/2011
4.5|Predominant type - none|07/21/2011
7.1|Predominant type: trees|07/22/2011
6.7|Predominant type - trees|07/25/2011
2.9|Predominant type - grasses|07/26/2011
2.2|Predominant type: weeds|07/27/2011
6.1|Predominant type - weeds|07/28/2011
3.2|There is no predominant type|07/29/2011
0.6||08/01/2011
3.5|Predominant type: weeds|08/02/2011
1.6|No predominant type|08/03/2011
9.0|Predominant type - grasses|08/04/2011
4.8|Predominant type - weeds|08/05/2011
7.1|Predominant type - grasses|08/08/2011
3.8|Predominant type - grasses|08/09/2011
7.7|Predominant type: Weeds|08/10/2011
5.1|Predominant type - grasses|08/11/2011
10.6|Predominant type: grasses|08/12/2011
22.8|Predominant type - grasses|08/15/2011
14.1|Predominant type - grasses|08/16/2011
13.5|Predominant type: grasses|08/17/2011
9.3|Predominant type - weeds|08/18/2011
20.5|Predominate type - weeds -pigweed/lamb'squarters, nettle|08/19/2011
13.1|Predominant type - grasses|08/22/2011
26.6|Predominant type - weeds - ragweed|08/23/2011
33.0|Predominant type - weeds - ragweed|08/24/2011
14.4|Predominant type - grasses|08/25/2011
11.2|Predominant type: weeds|08/26/2011
44.6|Predominant type - weeds - ragweed|08/29/2011
24.0|Predominant type - weeds - ragweed|08/30/2011
22.8|Predominant type: weeds|08/31/2011
17.3|Predominant type - weeds - ragweed|09/01/2011
17.9|Predominant type: weeds|09/02/2011
38.1|Predominant type - weeds - ragweed|09/06/2011
9.0|Predominant type - grasses & weeds|09/07/2011
1.6||09/08/2011
0.0|No report - sampler not working|09/09/2011
0.0|Pollen sampler sent for repair|09/12/2011
8.3|Predominant type - weeds - ragweed|10/06/2011
13.8|Predominant type - weed|10/07/2011
36.2|Predominant type - weeds - ragweed|10/10/2011
7.4|Predominant type - weeds - ragweed|10/11/2011
14.1|Predominant type: grasses|10/12/2011
9.3|predominant type - grasses|10/13/2011
22.4|Predominant type: weeds|10/14/2011
16.3|Predominant type - grasses|10/17/2011
22.8|Predominant type - weeds - ragweed|10/18/2011
3.2|Predominant type: weeds|10/19/2011
5.8|Predominant type - weeds - ragweed|10/20/2011
3.2|Predominant type - weeds|10/21/2011
1.6|Predominant type - none|10/24/2011
1.0|no one type is predominant|10/25/2011
0.6|Predominant type: weeds|10/26/2011
8.3|predominant type - weeds - ragweed|10/27/2011
5.1|none predominant|10/28/2011
0.0|no pollen|10/31/2011
0.0||11/01/2011
0.0|no pollen|11/02/2011
1.3|Predominant type - trees|11/03/2011
0.6|no predominant type|11/04/2011
0.6|Predominant type - trees|11/07/2011
5.1|Predominant type - trees|11/08/2011
0.0|no pollen to report|11/09/2011
2.6|Predominant type - trees LAST POLLEN REPORT OF THE SEASON|11/10/2011
50.3|Predominant type is Juniper|02/20/2012
123.4|Predominant type - trees- juniper & cedar, elm|02/21/2012
77.2|Predominant type: Juniper/Cedar|02/22/2012
173.7|Predominant type: Elm, Juniiper/Cedar|02/24/2012
31.7|Predominant type - juniper & cedar, elm|02/27/2012
5.4|Predominant type - juniper & cedar|02/28/2012
171.2|Predominant type: Juniper/Cedar|02/29/2012
156.4|Predominant type - juniper& cedar, elm|03/01/2012
301.3|Predominant type: Juniper /Cedar|03/02/2012
50.6|Predominant type - trees - juniper & cedar|03/05/2012
28.5|Predominant type - trees - juniper & cedar, maple|03/06/2012
11.5|Predominant types are Maple and Juniper|03/07/2012
13.8|Predominant type - trees - juniper & cedar, maple|03/08/2012
70.2|Predominant type - trees - pine, oak, juniper|03/09/2012
38.5|Predominant type - Trees - pine, juniper, oak|03/12/2012
220.8|Predominant type - Trees - pine, juniper, oaks|03/13/2012
83.0|Predominant type: trees; Oak, Pine|03/14/2012
193.6|Predominant type - Trees - oaks, pine, juniper|03/15/2012
710.9|Predominant type: trees, Oak, Pine|03/16/2012
94.2|Predominant type - Trees - oaks, pine|03/19/2012
763.5|Estimated count Predominant type - oaks, also pine, birch|03/20/2012
0.0|No pollen to report|03/21/2012
225.6|predominant type - Trees - oaks, sweetgum, pine|03/22/2012
131.4|Predominant type: Pine, Oak|03/23/2012
1180.8|Estimated count - Predominant type - oaks, pine, birch|03/26/2012
1137.5|Estimated count Predominant type - oaks, pine, birch, sweetgum|03/27/2012
651.0|Predominant type: Oak, Pine|03/28/2012
1177.6|Estimated count Predominant type - oaks, pine, ash, birch|03/29/2012
1236.5|Estimated count Predominant type -oaks, pine, mulberry|03/30/2012
678.8|Estimated count Predominant type -oaks, ash, pine|04/02/2012
612.5|Estimated count Predominant type -oaks, pine,ash|04/03/2012
821.2|This report is based on an estimated count|04/04/2012
527.9|Estimated count Predominant type - oaks, ash,pine|04/05/2012
570.2|Predominant type: Oak This is an estimated count based on i/3 of rod counted|04/09/2012
487.5|Estimated count Predominant type -oaks, pine,ash, hickory, mulberry|04/10/2012
443.9|Predominant type: Oak|04/11/2012
271.8|Predominant type -oaks, pine, Estimated count based on 2/3 of rod counted|04/12/2012
93.3|Predominant type: Oak|04/13/2012
118.3|Predominant type- oaks, ash, pine, hickory|04/16/2012
134.9|Predominant type - oaks, hickory, pine|04/17/2012
215.4|Predominant type: Oak|04/18/2012
117.3|Predominant type - oaks, pine, hickory|04/19/2012
19.2|Predominant type: Oak|04/20/2012
21.5|Predominant type - oaks|04/23/2012
101.3|Predominant type - oaks, pine, hickory|04/24/2012
87.5|Predominant type: Oak|04/25/2012
30.4|Predominant type - hickory, oaks|04/26/2012
51.0|Predominant type: Hickory/Walnut|04/27/2012
83.7|Predominant type: Grasses|04/30/2012
84.3|Predominant type - trees - hickory|05/01/2012
81.1|Predominant type: Hickory/Walnut|05/02/2012
68.3|Predominant type - trees- hickory, walnut, pine|05/03/2012
41.0|Predominant type: Hickory/Walnut|05/04/2012
18.6|Predominant type - trees - hickory|05/07/2012
55.1|Predominant type: grasses|05/08/2012
28.5|Predominant type: trees; Pine, Hickory/Walnut|05/09/2012
9.0|Predominant type - trees|05/10/2012
97.1|Predominant type: Pine, Hickory/Walnut|05/11/2012
13.1|Predominant type: grasses|05/14/2012
0.0||05/15/2012
16.7|Predominant type: grasses|05/16/2012
20.5|Predominant type - grasses|05/17/2012
31.7|Predominant type: grasses|05/18/2012
39.4|Predominant type - trees - pine|05/21/2012
12.8|Predominant type - grasses|05/22/2012
41.7|Predominant type: weeds|05/23/2012
0.0|No sample today - timer malfunction|05/24/2012
11.9|Predominant type - weeds - plantain|05/25/2012
17.6|Predominant type - grasses|05/29/2012
7.4|Predominant type: grasses|05/30/2012
22.4|Predominant type - trees - pine|05/31/2012
8.3|no predominant type|06/01/2012
24.0|Predominant type - grasses|06/04/2012
18.9|Predominant type - trees -pine|06/05/2012
4.8|Predominant type: trees|06/06/2012
9.9|Predominant type - weeds -plantain|06/07/2012
9.3|Predominant type: weeds|06/08/2012
21.8|Predominant type -weeds - plantain|06/11/2012
10.3|Predominant type - weeds - plantain|06/12/2012
3.8|Predominant type: weeds|06/13/2012
19.6|Predominant type - weeds - plantain|06/14/2012
3.2|Predominant type: weeds|06/15/2012
17.0|Predominant type - grasses|06/18/2012
16.3|Predominant type - grasses|06/19/2012
14.4|Predominant type: weeds and grasses|06/20/2012
18.6|Prdominant type - trees - pine|06/21/2012
12.5|No predominant type|06/22/2012
20.5|Prdominant type - grasses|06/25/2012
21.2|Predominant type - grasses|06/26/2012
16.3|No predominant type|06/27/2012
11.9||06/28/2012
18.9|Predominant type - grasses|06/29/2012
17.0|Predominant type: trees|07/02/2012
9.9|Predominant type: grasses|07/03/2012
0.0|suspect problem with pollen sampler|07/05/2012
6.7|Predominant type: grasses|07/06/2012
26.3|Predominant type - grasses|07/09/2012
4.2|Predominant type - grasses|07/10/2012
2.6|Predominant type: grasses|07/11/2012
10.6|Predominant type - trees -pine|07/12/2012
6.4|Predominant type: grasses|07/13/2012
19.6|Predominant type - grasses|07/16/2012
26.6|Predominant type - grasses|07/17/2012
17.9|Predominant type: grasses|07/18/2012
17.6|Predominant type grasses|07/19/2012
15.7|Predominant type: grasses|07/20/2012
19.6|Predominant type: grasses|07/23/2012
52.2|Predominant type - grasses|07/24/2012
6.4|Predominant type: grasses|07/25/2012
26.3|Predominant type - grasses No report tomorrow -sampler being relocated|07/26/2012
7.1|Predominant type - weeds First report from monitor now located on roof of NRC - Green Square|07/30/2012
1.3|No predominant type|07/31/2012
5.4|no predominant type|08/01/2012
7.7|Predominant type - grasses|08/02/2012
7.7|Predominant type - trees|08/03/2012
6.4|Predominant type - grasses|08/06/2012
3.5|Predominant type -grasses|08/07/2012
2.9|Predominant type -grasses|08/08/2012
3.5|Predominant type - trees|08/09/2012
11.5|Predominant type - grasses No pollen report on Monday|08/10/2012
13.8|Predominant type - weeds|08/14/2012
8.3|Predominant type -grasses|08/15/2012
5.1|Predominant type - weeds|08/16/2012
11.9||08/17/2012
2.9|Predominant type - weeds - nettle|08/20/2012
7.4|Predominant type - weeds - nettle|08/21/2012
11.5|Predominant type - weeds - ragweed, nettle|08/22/2012
9.3|Predominant type - weeds - nettle|08/23/2012
6.4|predominant type - weeds|08/24/2012
31.1|Predominant type - trees -elm|08/27/2012
54.2|Predominant type - trees - elm|08/28/2012
98.4|Predominant type - trees - elm|08/29/2012
25.3|Predominant type -weeds -ragweed|08/30/2012
377.2|Predominant type - trees -elm|08/31/2012
16.0|Prdominant type - weeds- ragweed, pigweed|09/04/2012
22.1|Predominant type - weeds - ragweed|09/05/2012
17.6|Predominant type - weeds - ragweed|09/06/2012
12.2|weeds - ragweed|09/07/2012
19.9|Predominant type - weeds - ragweed|09/10/2012
24.7|Predominant type - weeds -ragweed|09/11/2012
13.8|Predominant type - weeds - ragweed|09/12/2012
18.6|Predominant type - weeds- ragweed|09/13/2012
15.7|Predominant type - weeds- ragweed, pigweed/lambs quarter|09/14/2012
4.5|Weeds- ragweed|09/17/2012
2.9|grass|09/18/2012
51.3|Grass|09/19/2012
13.1|ragweed|09/20/2012
22.8|ragweed|09/21/2012
7.4|Weeds - Ragweed|09/24/2012
22.4|Predominant type - weeds -ragweed|09/25/2012
15.4|Predominant type - weeds - ragweed|09/26/2012
20.5|Predominant type - weeds - ragweed|09/27/2012
23.1|Predominant type - weeds - ragweed|09/28/2012
7.1|Predominant type - weeds -ragweed|10/01/2012
2.9|Predominant type - weeds -ragweed|10/02/2012
13.1|Predominant type - weeds|10/03/2012
20.8|Predominant type - weeds -ragweed|10/04/2012
29.8|Predominant type - weeds- ragweed|10/05/2012
4.2|Predominant type - weeds -ragweed|10/08/2012
0.3|No predominant type|10/09/2012
1.9|No predominant type|10/10/2012
24.0|Predominant type - weeds - ragweed|10/11/2012
15.4|Predominant type - weeds - ragweed|10/12/2012
13.1|Predominant type - weeds - ragweed|10/15/2012
3.8|predominant type - trees|10/16/2012
8.7|Predominant type - weeds - ragweed|10/17/2012
14.1|Predominant type - weeds - ragweed|10/18/2012
7.7|Predominant type - weeds - ragweed|10/19/2012
6.1|Predominant type - trees|10/22/2012
7.4|Predominant type - trees|10/23/2012
11.2|Predominant type - trees - elm|10/24/2012
15.4|Predominant type - trees - elm|10/25/2012
1.3|Predominant type - trees|10/26/2012
1.0|Weeds|10/29/2012
7.1|Predominant type - weeds - ragweed|10/30/2012
1.9|Predominant type: Weeds|10/31/2012
1.6||11/01/2012
2.2|Predominant type - trees|11/02/2012
4.5||11/05/2012
1.0||11/06/2012
0.3|No predominant type|11/07/2012
0.6|Predominant type - trees|11/08/2012
0.3|No predominant type|11/09/2012
3.8|Predominant type - weeds- ragweed|11/13/2012
0.0|No predominant type|11/14/2012
2.6|Predominant type - trees Tomorrow is the last pollen report of the season|11/15/2012
1.0|This is the final pollen report of the season|11/16/2012
5.1|Predominant type - trees - juniper & cedar|02/25/2013
57.4|Predominant type - trees - juniper & cedar, elm|02/26/2013
10.3|Predominant Type: Cedar and Juniper|02/27/2013
94.2|Predominant type - tress - juniper & cedar, elm|02/28/2013
49.0|Predominant Types: Cedar/Juniper and Elm|03/01/2013
12.5|Trees - elm|03/04/2013
30.4|Predominant type - trees - juniper & cedar, elm|03/05/2013
20.5|Predominant type - trees -juniper & cedar,elm, pine|03/06/2013
45.2|Predominant type - trees - juniper & cedar, elm|03/07/2013
9.0|Predominant type - trees - elm|03/08/2013
67.6|Prdominant type - trees - juniper & cedar, elm|03/11/2013
86.9|Predominant type - trees - juniper & cedar, elm|03/12/2013
95.8|Predominant Type: Junipers and Cedars|03/13/2013
47.8|Prdeominant type: trees - juniper & cedar, elm|03/14/2013
7.1|Predominant Type- Juniper and Cedar|03/15/2013
49.0|Predominant type - trees - juniper & cedar|03/18/2013
23.4|Predominant type - trees - pine|03/19/2013
53.5|Predominant Type- Cedar and Juniper|03/20/2013
49.0|Predominant type - trees - juniper & cedar, pine|03/21/2013
12.5|Predominant Type- Juniper and Cedar|03/22/2013
1.6||03/25/2013
11.5|Predominant type - trees - juniper & cedar|03/26/2013
1.9|Predominant type - trees -juniper & cedar|03/27/2013
2.9|Predominant type - trees|03/28/2013
10.3|Predominant type - trees - oaks|04/01/2013
53.8|Predominant type - trees - juniper & cedar, oaks|04/02/2013
35.3|Predominant Types- Cedar and Juniper; Oak|04/03/2013
42.3|Predominant type - trees -oaks, juniper & cedar, birch|04/04/2013
5.4|Predominant Types- Maple and Oak|04/05/2013
748.1|Predominant type - trees - pine, oaks; estimated count|04/08/2013
1101.9|Predominant type - trees - pine,oaks|04/09/2013
1441.3|Predominant Types- Oak, Pine, Birch|04/10/2013
1711.5|Predominant type - trees -oaks, birch, pine Estimated count|04/11/2013
1619.2|Predominant Type- (Trees) Oak, Pine, Birch|04/12/2013
1755.8|Predominant type - trees - oaks, ash, sweetgum Estimated count|04/15/2013
730.8|Predominant Type- (Trees) Oak, Pine, Birch|04/17/2013
1426.9|Predominant type - trees - oaks, pine|04/18/2013
1138.5|Predominant Types: (Trees) Oak, Pine|04/19/2013
254.2|Predominant type - trees - pine, oaks|04/22/2013
122.1|Predominant type - trees - oaks, pine|04/23/2013
167.6|Predominant Types- Oak, Pine|04/24/2013
510.9|Predominant type - trees -oaks, pine, mulberry type|04/25/2013
330.1|Predominant Type- (Trees) Oak and Pine|04/26/2013
61.9|Predominant type - trees -oaks, pine, walnut|04/29/2013
8.7|Predominant type - trees -pine|04/30/2013
53.8|(Trees)- Pine|05/01/2013
26.6|Predominant type - trees -pine|05/02/2013
32.7|Predominant Types- (Trees) Pine, Oak|05/03/2013
9.6|Predominant type - trees -pine, walnut|05/06/2013
21.5|Predominant Type- (Trees) Pine, Hickory|05/07/2013
70.2|Predominant Type- (Trees) Hickory, Walnut|05/08/2013
37.8|Predominant Types- (Trees) Hickory, Pine, Walnut|05/09/2013
69.2|Predominant Types- (Trees) Hickory, Mulberry, Walnut|05/10/2013
172.4|Predominant type - trees - oaks,hickory, pine, walnut|05/13/2013
113.8|Predominant type - trees -oaks,pine,walnut|05/14/2013
63.5|Predominant Types- (Trees) Hickory, Pine, Mulberry, Oak|05/15/2013
112.5|Predominant type -trees -oaks, hickory|05/16/2013
94.9|Predominant Types- (Trees) Oak, Hickory|05/17/2013
24.0|Predominant type - trees - hickory|05/20/2013
16.0|Predominant type - trees|05/21/2013
35.3|Predominant Types- (Trees) Hickory, Oak, Pine|05/22/2013
29.8|Predominant type- trees - pine|05/23/2013
